ProjectId,ProjectName,PlantCommunity,Year,WoodyCoverPercent,HerbaceousCoverPercent,InvasiveCoverPercent,TreeDiversity,ShrubDiversity,HerbaceousDiversity,SiteAssessmentStemsPerAcre
123,Fanno Creek - Englewood,Emergent Marsh,2010,0.81,0.05,0.45,1,2,1,1999.97028
123,Fanno Creek - Englewood,Forested Wetland,2010,1.448208,0.505583,0.69075,2,8,4,3457.44432
123,Fanno Creek - Englewood,Emergent Marsh,2012,0.75,0.05,0.115,0,4,0,1499.9886
123,Fanno Creek - Englewood,Forested Wetland,2012,1.198308,0.491727,0.470477,4,5,3,2933.80956
123,Fanno Creek - Englewood,Wet Prairie,2012,0.016666,0.626666,0.123333,0,0,3,299.99772
123,Fanno Creek - Englewood,Emergent Marsh,2014,0.065,0.035,0.675,0,0,0,299.99772
123,Fanno Creek - Englewood,Forested Wetland,2014,1.5,0.560625,0.242536,2,8,4,3358.0404
123,Fanno Creek - Englewood,Wet Prairie,2014,0.073333,0.553333,0.03,0,0,5,1766.66292
123,Fanno Creek - Englewood,Emergent Marsh,2016,0.11,0.57,0,0,0,2,599.99544
123,Fanno Creek - Englewood,Forested Wetland,2016,1.642856,0.26,0.575714,2,8,2,5999.9544
123,Fanno Creek - Englewood,Emergent Marsh,2018,0.373333,0.545,0.523333,0,3,5,2933.28684
123,Fanno Creek - Englewood,Forested Wetland,2018,1.37938,0.366142,0.707285,2,6,2,3110.92452
